        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
           39.811100            39.811100             0.011910            83.963056
           40.356710            40.356710             0.006050           165.289256
           40.370030            40.370030             0.013320            75.075075
           40.373220            40.373220             0.003190           313.479624
           40.389850            40.389850             0.016630            60.132291
           40.393960            40.393960             0.004110           243.309002
           40.410510            40.410510             0.016550            60.422961
           40.414060            40.414060             0.003550           281.690141
           40.438780            40.438780             0.024720            40.453074
           40.460640            40.460640             0.021860            45.745654
           41.006240            41.006240             0.009710           102.986612
           41.017560            41.017560             0.011320            88.339223
           41.021660            41.021660             0.004100           243.902439
           41.037380            41.037380             0.015720            63.613232
           41.042210            41.042210             0.004830           207.039337
           41.059090            41.059090             0.016880            59.241706
           41.064290            41.064290             0.005200           192.307692
           41.090130            41.090130             0.025840            38.699690
           41.113060            41.113060             0.022930            43.610990
           41.654470            41.654470             0.010850            92.165899
           41.665320            41.665320             0.010850            92.165899
           41.670120            41.670120             0.004800           208.333333
           41.684580            41.684580             0.014460            69.156293
           41.691830            41.691830             0.007250           137.931034
           41.705390            41.705390             0.013560            73.746313
           41.712680            41.712680             0.007290           137.174211
           41.731250            41.731250             0.018570            53.850296
           42.282940            42.282940             0.003970           251.889169
           42.297270            42.297270             0.014330            69.783671
           42.298750            42.298750             0.001480           675.675676
           42.318670            42.318670             0.019920            50.200803
           42.321520            42.321520             0.002850           350.877193
           42.339650            42.339650             0.018130            55.157198
           42.342010            42.342010             0.002360           423.728814
           42.381090            42.381090             0.039080            25.588536
           42.388160            42.388160             0.007070           141.442716
           42.930850            42.930850             0.003480           287.356322
           42.945140            42.945140             0.014290            69.979006
           42.947270            42.947270             0.002130           469.483568
           42.968300            42.968300             0.021030            47.551117
           42.970890            42.970890             0.002590           386.100386
           42.992210            42.992210             0.021320            46.904315
           43.034660            43.034660             0.042450            23.557126
           43.056140            43.056140             0.021480            46.554935
           43.591850            43.591850             0.003670           272.479564
           43.609220            43.609220             0.017370            57.570524
           43.629750            43.629750             0.020530            48.709206
           43.630910            43.630910             0.001160           862.068966
           43.654490            43.654490             0.023580            42.408821
           43.701420            43.701420             0.046930            21.308332
           44.254830            44.254830             0.017920            55.803571
           44.256320            44.256320             0.001490           671.140940
           44.272470            44.272470             0.016150            61.919505
           44.275850            44.275850             0.003380           295.857988
           44.295860            44.295860             0.020010            49.975012
           44.298740            44.298740             0.002880           347.222222
           44.319840            44.319840             0.021100            47.393365
           44.322880            44.322880             0.003040           328.947368
           44.888150            44.888150             0.003610           277.008310
           44.904480            44.904480             0.016330            61.236987
           44.907010            44.907010             0.002530           395.256917
           44.921980            44.921980             0.014970            66.800267
           44.925810            44.925810             0.003830           261.096606
           44.943290            44.943290             0.017480            57.208238
           44.947320            44.947320             0.004030           248.138958
           44.964900            44.964900             0.017580            56.882821
           44.972420            44.972420             0.007520           132.978723
           45.531220            45.531220             0.008490           117.785630
           45.544720            45.544720             0.013500            74.074074
           45.547360            45.547360             0.002640           378.787879
           45.563720            45.563720             0.016360            61.124694
           45.568150            45.568150             0.004430           225.733634
           45.584780            45.584780             0.016630            60.132291
           45.588760            45.588760             0.003980           251.256281
           45.607470            45.607470             0.018710            53.447354
           45.618060            45.618060             0.010590            94.428706
           46.171290            46.171290             0.009010           110.987791
           46.183480            46.183480             0.012190            82.034454
           46.187400            46.187400             0.003920           255.102041
           46.203460            46.203460             0.016060            62.266501
           46.209890            46.209890             0.006430           155.520995
           46.227070            46.227070             0.017180            58.207218
           46.230890            46.230890             0.003820           261.780105
           46.261700            46.261700             0.030810            32.456994
           46.275240            46.275240             0.013540            73.855244
           46.794070            46.794070             0.108450             9.220839
           46.802110            46.802110             0.008040           124.378109
           46.815750            46.815750             0.013640            73.313783
           46.817360            46.817360             0.001610           621.118012
           46.836310            46.836310             0.018950            52.770449
           46.839520            46.839520             0.003210           311.526480
           46.857360            46.857360             0.017840            56.053812
           46.859780            46.859780             0.002420           413.223140
           46.886460            46.886460             0.026680            37.481259
           46.906910            46.906910             0.020450            48.899756
           47.441080            47.441080             0.007620           131.233596
           47.453000            47.453000             0.011920            83.892617
           47.457410            47.457410             0.004410           226.757370
           47.471120            47.471120             0.013710            72.939460
           47.479590            47.479590             0.008470           118.063754
           47.492210            47.492210             0.012620            79.239303
           47.499980            47.499980             0.007770           128.700129
           47.514670            47.514670             0.014690            68.073519
           47.536120            47.536120             0.021450            46.620047
           48.078000            48.078000             0.007520           132.978723
           48.090110            48.090110             0.012110            82.576383
           48.093410            48.093410             0.003300           303.030303
           48.110710            48.110710             0.017300            57.803468
           48.115350            48.115350             0.004640           215.517241
           48.131680            48.131680             0.016330            61.236987
           48.135720            48.135720             0.004040           247.524752
           48.155120            48.155120             0.019400            51.546392
           48.163960            48.163960             0.008840           113.122172
           48.718980            48.718980             0.009670           103.412616
           48.729800            48.729800             0.010820            92.421442
           48.734650            48.734650             0.004850           206.185567
           48.747740            48.747740             0.013090            76.394194
           48.756510            48.756510             0.008770           114.025086
           48.769020            48.769020             0.012510            79.936051
           48.775930            48.775930             0.006910           144.717800
           48.790290            48.790290             0.014360            69.637883
           48.804610            48.804610             0.014320            69.832402
           49.360410            49.360410             0.009960           100.401606
           49.371810            49.371810             0.011400            87.719298
           49.376670            49.376670             0.004860           205.761317
           49.391840            49.391840             0.015170            65.919578
           49.397520            49.397520             0.005680           176.056338
           49.412860            49.412860             0.015340            65.189048
           49.415420            49.415420             0.002560           390.625000
           49.437220            49.437220             0.021800            45.871560
           49.442820            49.442820             0.005600           178.571429
           50.003470            50.003470             0.005060           197.628458
           50.019070            50.019070             0.015600            64.102564
           50.022460            50.022460             0.003390           294.985251
           50.040250            50.040250             0.017790            56.211355
           50.044420            50.044420             0.004170           239.808153
           50.059780            50.059780             0.015360            65.104167
           50.062940            50.062940             0.003160           316.455696
           50.091180            50.091180             0.028240            35.410765
           50.095130            50.095130             0.003950           253.164557
